B02,B03,B04,B05,B06,B07.,B08,B8A,B11,B12,SCL,NDVI,x,y,target
217,346,170,571,2475,3166,3422,3443,1350,561,4,0,532572.131,6816628.919,"351,0261854"
196,433,181,796,2727,3319,3892,3608,1628,740,4,0,532435.216,6818245.697,"35,07116458"
209,356,153,586,2295,2813,2850,3048,1114,489,4,0,532451.066,6817839.134,"406,4637886"
245,385,178,746,2236,2690,2546,2924,1175,530,4,0,532632.749,6818047.695,"71,40048754"
195,379,176,706,2254,2656,2658,2814,1292,634,4,0,532648.16,6818240.479,"55,43760321"
212,379,212,647,2380,2971,2918,3199,1409,625,4,0,521485.825,6821103.588,"264,3705276"
213,378,182,591,2232,2606,2942,2820,1290,563,4,0,521486.453,6820699.883,"344,0669969"
192,347,166,561,2281,2947,3122,3202,1281,548,4,0,521685.428,6820889.14,"409,6878195"
272,396,251,625,2187,2655,2740,2924,1443,654,4,0,521685.394,6821105.479,"431,8235433"
229,380,230,583,2119,2622,2898,2846,1492,694,4,0,521659.742,6820702.534,"483,4866714"
175,316,154,478,1509,1827,2126,1962,853,392,4,0,518479.944,6822366.781,"461,1150429"
208,296,153,459,1267,1585,1534,1730,741,339,4,0,518679.95,6822369.58,0
207,368,174,613,2609,3178,3610,3499,1485,639,4,0,530599.099,6806353.615,"141,0710073"
200,346,160,552,2349,3015,3330,3274,1300,561,4,0,530402.417,6806150.592,"312,4950853"
221,332,158,482,1474,1816,2220,1929,880,405,4,0,530793.227,6806160.042,"239,5218998"
203,370,178,667,2828,3589,3676,3779,1625,695,4,0,530806.857,6806380.221,"95,85594087"
183,337,154,581,2225,2742,3024,2908,1231,529,4,0,530399.259,6806334.187,"167,7282378"
205,319,209,628,2275,2865,3040,3081,1414,638,4,0,534289.27,6813505.518,"431,0371943"
195,333,196,579,2203,2824,3074,3127,1384,602,4,0,534062.252,6813327.25,"528,5837855"
210,331,156,571,2431,3105,3418,3341,1269,529,4,0,534298.714,6813113.711,"363,0966423"
213,357,196,614,2287,2799,2902,3157,1444,631,4,0,534495.223,6813299.287,"426,6729575"
210,346,205,611,2168,2738,2866,3028,1389,636,4,0,534475.456,6813521.286,"330,3845247"
221,338,211,613,2313,2919,3182,3196,1446,643,4,0,534099.753,6813513.446,"541,9910356"
193,306,190,546,2103,2704,2728,2883,1335,592,4,0,534075.487,6813121.159,"488,7552096"
173,309,138,489,1642,2119,2362,2183,887,383,4,0,534488.776,6813113.752,"283,4788079"
232,339,178,561,2105,2633,2818,2834,1301,576,4,0,526279.674,6810033.801,"599,0799717"
184,344,184,538,2021,2445,2618,2576,1185,538,4,0,526261.023,6809642.983,"406,2278839"
265,382,209,577,2087,2501,2868,2597,1250,578,4,0,526480.291,6809828.27,"881,6937957"
231,375,213,588,1901,2277,2598,2521,1231,576,4,0,526478.492,6810054.367,"733,8208697"
176,289,149,462,1747,2233,2608,2432,1060,462,4,0,526071.297,6810044.818,"519,5407722"
191,394,163,655,2170,2626,2668,2775,1168,510,4,0,526075.612,6809633.054,"222,9299363"
208,345,181,539,1829,2280,2706,2473,1093,513,4,0,526469.077,6809644.764,"701,6591964"
228,392,170,607,2370,2911,3094,3193,1225,514,4,0,521981.892,6821655.067,"295,7851695"
197,332,161,591,2434,3086,3146,3306,1295,528,4,0,521777.228,6821447.426,"340,921601"
219,360,166,610,2618,3272,3286,3539,1374,571,4,0,521978.299,6821253.412,"291,6568373"
235,418,236,678,1769,1992,2104,2255,1096,537,4,0,522180.358,6821461.405,"226,3898718"
169,273,136,554,1802,2154,1762,2434,975,392,4,0,522178.979,6821647.22,"449,8702524"
193,349,161,579,2321,2963,3194,3155,1191,505,4,0,521772.04,6821662.086,"338,6018715"
198,386,189,642,2353,2973,3234,3176,1329,580,4,0,521801.39,6821282.157,"363,9223087"
